Index,Height(Inches),Weight(Pounds),Standardize,,,,Average,Stdev.P,,,,,
76,66.35708,120.2991,-0.581469542,,,,,,,,,,
77,68.36275,138.6036,0.988295221,,,,,,,,,,
78,65.4769,132.9574,0.504086102,,,,,,,,,,
79,69.71947,115.6233,-0.982458702,,,,,,,,,,
80,67.72554,122.524,-0.390665662,,,,,,,,,,
81,68.63941,134.6254,0.647131125,,,,,,,,,,
82,66.78405,121.8986,-0.44429897,,,,,,,,,,
83,70.05147,155.3767,2.426729559,,,,,,,,,,
84,66.27848,128.9418,0.159714643,,,,,,,,,,
85,69.20198,129.1013,0.173393109,,,,,,,,,,
86,69.13481,139.4733,1.062879307,,,,,,,,,,
87,67.36436,140.8901,1.184381818,,,,,,,,,,
88,70.09297,131.5916,0.38695727,,,,,,,,,,
89,70.1766,121.1232,-0.510796039,,,,,,,,,,
90,68.22556,131.5127,0.380190932,,,,,,,,,,
91,68.12932,136.5479,0.812001663,,,,,,,,,,
92,70.24256,141.4896,1.235793984,,,,,,,,,,
93,71.48752,140.6104,1.160395192,,,,,,,,,,
94,69.20477,112.1413,-1.281069476,,,,,,,,,,
95,70.06306,133.457,0.546931003,,,,,,,,,,
96,70.55703,131.8001,0.404837898,,,,,,,,,,
97,66.28644,120.0285,-0.604675767,,,,,,,,,,
98,63.42577,123.0972,-0.341508944,,,,,,,,,,
99,66.76711,128.1432,0.091227979,,,,,,,,,,
100,68.88741,115.4759,-0.995099492,,,,,,,,,,
101,64.87434,102.0927,-2.142821406,,,,,,,,,,
102,67.09272,130.353,0.280736907,,,,,,,,,,
103,68.34761,134.1842,0.609294516,,,,,,,,,,
104,65.61073,98.64133,-2.438805399,,,,,,,,,,
105,67.75551,114.5599,-1.073654193,,,,,,,,,,
106,68.0212,123.4917,-0.307677252,,,,,,,,,,
107,67.66193,123.048,-0.345728257,,,,,,,,,,
108,66.3146,126.4772,-0.051645527,,,,,,,,,,
109,69.43706,128.417,0.114708631,,,,,,,,,,
110,63.83624,127.1941,0.009834675,,,,,,,,,,
111,67.72277,122.0562,-0.430783445,,,,,,,,,,
112,70.05098,127.6064,0.045192866,,,,,,,,,,
113,70.18602,131.6423,0.391305221,,,,,,,,,,
114,65.94588,111.8955,-1.302148893,,,,,,,,,,
115,70.007,122.039,-0.43225849,,,,,,,,,,
116,68.61129,128.5547,0.126517563,,,,,,,,,,
117,68.80817,132.6792,0.480228113,,,,,,,,,,
118,69.76212,136.0632,0.770434563,,,,,,,,,,
119,65.45539,115.9403,-0.955273287,,,,,,,,,,
120,68.82534,136.9041,0.842548808,,,,,,,,,,
121,65.8003,119.8804,-0.617376588,,,,,,,,,,
122,67.21474,109.0055,-1.549990689,,,,,,,,,,
123,69.42021,128.2705,0.102145024,,,,,,,,,,
124,68.94396,135.2913,0.704237649,,,,,,,,,,
125,67.9415,106.8558,-1.734345537,,,,,,,,,,
126,65.62506,123.2939,-0.324640265,,,,,,,,,,
127,66.49607,109.5143,-1.506356812,,,,,,,,,,
128,67.92809,119.3087,-0.666404669,,,,,,,,,,
129,68.89415,140.2402,1.12864743,,,,,,,,,,
130,70.241,133.9841,0.592134259,,,,,,,,,,
131,68.26623,132.5807,0.47178091,,,,,,,,,,
132,71.23161,130.6988,0.310392164,,,,,,,,,,
133,69.09747,115.5637,-0.987569904,,,,,,,,,,
134,64.39693,123.7941,-0.28174391,,,,,,,,,,
135,71.09585,128.1427,0.0911851,,,,,,,,,,
136,68.21868,135.9646,0.761978784,,,,,,,,,,
137,65.91721,116.6273,-0.896357262,,,,,,,,,,
138,67.4369,126.8241,-0.021895936,,,,,,,,,,
139,73.90107,151.3913,2.084948003,,,,,,,,,,
140,69.98149,130.4022,0.28495622,,,,,,,,,,
141,69.51862,136.2068,0.78274947,,,,,,,,,,
142,65.18437,113.3989,-1.173219703,,,,,,,,,,
143,68.00869,125.3287,-0.150139058,,,,,,,,,,
144,68.3384,127.5846,0.043323333,,,,,,,,,,
145,65.18417,107.1564,-1.70856656,,,,,,,,,,
146,68.26209,116.4588,-0.910807553,,,,,,,,,,
147,68.56865,133.8402,0.579793624,,,,,,,,,,
148,64.49675,112.8901,-1.216853581,,,,,,,,,,
149,68.71053,130.7568,0.315366152,,,,,,,,,,
150,68.89148,137.7571,0.915700729,,,,,,,,,,
151,69.54011,125.4036,-0.143715753,,,,,,,,,,
152,67.39964,138.4659,0.976486288,,,,,,,,,,
153,66.47521,120.8184,-0.536935202,,,,,,,,,,
154,66.01217,140.1539,1.121246479,,,,,,,,,,
155,72.44434,136.7397,0.828450126,,,,,,,,,,
156,64.12642,106.1139,-1.797969699,,,,,,,,,,
157,70.98112,158.9562,2.733701777,,,,,,,,,,
158,67.50124,108.7868,-1.568746053,,,,,,,,,,
159,72.01515,138.7758,1.003062818,,,,,,,,,,
160,65.31143,115.9136,-0.957563037,,,,,,,,,,
161,67.07509,146.2922,1.64765731,,,,,,,,,,
162,64.39148,109.8765,-1.475295116,,,,,,,,,,
163,69.37003,139.0499,1.026569198,,,,,,,,,,
164,68.37921,119.9001,-0.615687147,,,,,,,,,,
165,65.31018,128.3069,0.10526663,,,,,,,,,,
166,67.1369,127.2428,0.014011109,,,,,,,,,,
167,68.39468,115.2306,-1.016136029,,,,,,,,,,
168,66.2918,124.7975,-0.195693924,,,,,,,,,,
169,67.1866,126.9511,-0.011004618,,,,,,,,,,
170,65.99156,111.2711,-1.355696442,,,,,,,,,,
171,69.43393,122.6089,-0.383384774,,,,,,,,,,
172,67.97463,124.2084,-0.246214202,,,,,,,,,,
173,67.76133,124.6453,-0.208746353,,,,,,,,,,
174,65.27864,119.5169,-0.648549769,,,,,,,,,,
175,73.83364,139.2983,1.047871586,,,,,,,,,,
176,66.81312,104.8265,-1.908375072,,,,,,,,,,
177,66.89411,123.0424,-0.346208504,,,,,,,,,,
178,65.73568,118.8923,-0.70211447,,,,,,,,,,
179,65.98283,121.4939,-0.479005398,,,,,,,,,,
180,66.58396,119.2488,-0.671541597,,,,,,,,,,
181,67.11294,135.0239,0.681305851,,,,,,,,,,
182,65.87481,116.228,-0.930600594,,,,,,,,,,
183,66.78067,109.1731,-1.53561758,,,,,,,,,,
184,68.73577,124.2237,-0.244902098,,,,,,,,,,
185,66.22666,141.1645,1.207913925,,,,,,,,,,
186,65.95968,129.1501,0.177578119,,,,,,,,,,
187,68.58372,127.8693,0.067738751,,,,,,,,,,
188,66.59347,120.9244,-0.527844811,,,,,,,,,,
189,66.96574,127.6466,0.048640354,,,,,,,,,,
190,68.08015,101.4693,-2.196283197,,,,,,,,,,
191,70.19025,144.9927,1.536214259,,,,,,,,,,
192,65.52149,110.9523,-1.383036222,,,,,,,,,,
193,67.45905,132.8625,0.495947629,,,,,,,,,,
194,67.40985,146.3385,1.651627924,,,,,,,,,,
195,69.66158,145.5894,1.587386301,,,,,,,,,,
196,65.79799,120.8431,-0.534816969,,,,,,,,,,
197,66.10558,115.7813,-0.968908874,,,,,,,,,,
198,68.23987,128.3019,0.104837838,,,,,,,,,,
199,68.02403,127.4718,0.033649784,,,,,,,,,,
200,71.39044,127.8761,0.068321908,,,,,,,,,,
201,65.7316,121.4997,-0.478507999,,,,,,,,,,
202,66.43358,112.7148,-1.23188703,,,,,,,,,,
203,70.01309,135.002,0.679427742,,,,,,,,,,
204,69.48146,128.6789,0.137168757,,,,,,,,,,
205,68.62764,124.4062,-0.229251189,,,,,,,,,,
206,68.36275,140.026,1.110277979,,,,,,,,,,
207,68.39028,117.519,-0.81988649,,,,,,,,,,
208,68.77413,143.8737,1.440250602,,,,,,,,,,
209,69.9236,141.1703,1.208411324,,,,,,,,,,
210,71.55542,155.9414,2.475157331,,,,,,,,,,
211,68.44764,134.0093,0.594295371,,,,,,,,,,
212,66.71398,130.0975,0.258825634,,,,,,,,,,
213,66.68413,106.2265,-1.788313302,,,,,,,,,,
214,67.93699,112.0489,-1.288993553,,,,,,,,,,
215,68.89855,136.1884,0.781171516,,,,,,,,,,
216,67.29191,131.236,0.35646158,,,,,,,,,,
217,69.57212,131.3231,0.363931138,,,,,,,,,,
218,67.67479,119.5261,-0.647760791,,,,,,,,,,
219,69.04155,116.9965,-0.864695258,,,,,,,,,,
220,67.96765,138.5255,0.981597489,,,,,,,,,,
221,65.83982,109.6518,-1.494565031,,,,,,,,,,
222,65.77288,130.1569,0.263919683,,,,,,,,,,
223,71.14106,137.1114,0.860326525,,,,,,,,,,
224,67.83055,113.759,-1.142338101,,,,,,,,,,
225,65.0693,114.9725,-1.038270274,,,,,,,,,,
226,69.70745,127.7149,0.054497653,,,,,,,,,,
227,69.92983,121.9972,-0.435843191,,,,,,,,,,
228,66.11569,117.9607,-0.782007002,,,,,,,,,,
229,68.61364,127.7141,0.054429046,,,,,,,,,,
230,68.9976,117.9619,-0.781904092,,,,,,,,,,
231,66.79171,125.1554,-0.16500099,,,,,,,,,,
232,68.02363,141.1026,1.20260548,,,,,,,,,,
233,69.67258,145.4822,1.578193,,,,,,,,,,
234,71.82178,116.065,-0.944579214,,,,,,,,,,
235,72.74676,135.7458,0.743214845,,,,,,,,,,
236,67.27951,132.9248,0.501290378,,,,,,,,,,
237,67.41015,115.6622,-0.9791227,,,,,,,,,,
238,68.5315,114.3184,-1.094364848,,,,,,,,,,
239,68.47126,148.952,1.875757521,,,,,,,,,,
240,68.51867,142.1878,1.295670503,,,,,,,,,,
241,63.72529,134.104,0.602416692,,,,,,,,,,
242,67.70483,141.8926,1.270354622,,,,,,,,,,
243,69.47115,138.7444,1.000370004,,,,,,,,,,
244,66.70198,134.449,0.632003342,,,,,,,,,,
245,65.23126,117.0167,-0.862962938,,,,,,,,,,
246,69.89473,115.6752,-0.978007841,,,,,,,,,,
247,69.83048,134.7905,0.661289838,,,,,,,,,,
248,65.3979,120.5746,-0.557843101,,,,,,,,,,
249,68.32214,120.0835,-0.599959055,,,,,,,,,,
250,65.93895,84.3598,-3.663566663,,,,,,,,,,
251,70.09805,138.9394,1.017092894,,,,,,,,,,
252,66.05531,143.5245,1.410303766,,,,,,,,,,
253,68.23481,123.1347,-0.338293003,,,,,,,,,,
254,65.21758,115.5261,-0.99079442,,,,,,,,,,
255,69.16173,120.9844,-0.522699306,,,,,,,,,,
256,67.60064,120.6473,-0.551608465,,,,,,,,,,
257,67.28621,124.0352,-0.261067558,,,,,,,,,,
258,66.84323,117.2238,-0.845202372,,,,,,,,,,
259,68.08281,127.9598,0.075499887,,,,,,,,,,
260,66.56991,116.7527,-0.885603157,,,,,,,,,,
261,70.16973,121.9957,-0.435971829,,,,,,,,,,
262,67.85113,123.9952,-0.264497894,,,,,,,,,,
263,66.62309,108.855,-1.562897329,,,,,,,,,,
264,63.68816,104.6574,-1.922876819,,,,,,,,,,
265,68.0356,132.248,0.443249088,,,,,,,,,,
266,66.941,127.1834,0.00891706,,,,,,,,,,
267,66.26292,125.1209,-0.167959655,,,,,,,,,,
268,70.7301,133.322,0.535353618,,,,,,,,,,
269,70.70844,122.3364,-0.40675394,,,,,,,,,,
270,73.26872,130.2636,0.273070105,,,,,,,,,,
271,63.79021,116.7431,-0.886426438,,,,,,,,,,
272,67.84109,125.8534,-0.105141622,,,,,,,,,,
273,67.78058,100.627,-2.268517503,,,,,,,,,,
274,67.23901,118.4945,-0.736229164,,,,,,,,,,
275,66.75701,137.1255,0.861535719,,,,,,,,,,
276,69.03098,118.6991,-0.718682994,,,,,,,,,,
277,68.52652,124.1641,-0.250013299,,,,,,,,,,
278,64.65419,124.9442,-0.183113166,,,,,,,,,,
279,65.14295,126.3889,-0.059217995,,,,,,,,,,
280,66.74124,121.5255,-0.476295432,,,,,,,,,,
281,66.99923,133.2951,0.533046716,,,,,,,,,,
282,70.26611,127.4072,0.028109791,,,,,,,,,,
283,67.57666,125.08,-0.171467174,,,,,,,,,,
284,66.30582,102.8114,-2.081186839,,,,,,,,,,
285,68.90702,134.2212,0.612467577,,,,,,,,,,
286,65.60543,100.9758,-2.238604971,,,,,,,,,,
287,68.00189,145.8886,1.613045216,,,,,,,,,,
288,69.93715,155.3046,2.420546378,,,,,,,,,,
289,70.1459,138.7175,0.998063103,,,,,,,,,,
290,66.66364,116.2611,-0.92776199,,,,,,,,,,
291,69.40676,120.6087,-0.55491874,,,,,,,,,,
292,66.80598,114.4083,-1.086655167,,,,,,,,,,
293,67.70048,133.3406,0.536948724,,,,,,,,,,
294,69.13438,92.74955,-2.944075067,,,,,,,,,,
295,67.53769,131.7825,0.40332855,,,,,,,,,,
296,65.77912,118.3865,-0.745491072,,,,,,,,,,
297,66.25769,131.1466,0.348794779,,,,,,,,,,
298,67.39038,130.2033,0.267898873,,,,,,,,,,
299,64.94327,129.1836,0.180451026,,,,,,,,,,
300,69.25699,143.1445,1.377715571,,,,,,,,,,
301,69.07739,138.7307,0.999195114,,,,,,,,,,
302,69.64403,130.9528,0.332174799,,,,,,,,,,
303,69.07705,124.3032,-0.238084305,,,,,,,,,,
304,68.01304,135.3702,0.711003987,,,,,,,,,,
305,68.85664,124.1988,-0.247037482,,,,,,,,,,
306,63.19158,111.2389,-1.358457863,,,,,,,,,,
307,65.57591,129.4037,0.199326451,,,,,,,,,,
308,69.12101,127.7444,0.057027526,,,,,,,,,,
309,69.78765,121.3311,-0.492966866,,,,,,,,,,
310,67.48203,118.2183,-0.759915636,,,,,,,,,,
311,69.08809,123.3441,-0.320335193,,,,,,,,,,
312,68.5529,151.9118,2.129585254,,,,,,,,,,
313,68.21327,115.3108,-1.009258205,,,,,,,,,,
314,67.1012,122.3844,-0.402637536,,,,,,,,,,
315,71.23661,129.2323,0.18462746,,,,,,,,,,
316,69.11946,138.2824,0.96074962,,,,,,,,,,
317,65.49848,144.0565,1.455927239,,,,,,,,,,
318,66.58706,120.8482,-0.534379601,,,,,,,,,,
319,67.99831,113.3034,-1.181409631,,,,,,,,,,
320,72.57747,149.3227,1.907548162,,,,,,,,,,
321,67.97585,130.6373,0.305118022,,,,,,,,,,
322,66.62347,122.387,-0.402414564,,,,,,,,,,
323,67.29574,133.8677,0.58215198,,,,,,,,,,
324,65.95951,134.8336,0.664986026,,,,,,,,,,
325,66.54011,137.8363,0.922492795,,,,,,,,,,
326,68.07723,112.6812,-1.234768512,,,,,,,,,,
327,65.83291,121.1964,-0.504518524,,,,,,,,,,
328,69.23721,114.9262,-1.042240888,,,,,,,,,,
329,64.69413,110.3762,-1.43244164,,,,,,,,,,
330,69.21372,126.0337,-0.089679381,,,,,,,,,,
331,67.16792,118.7008,-0.718537205,,,,,,,,,,
332,67.8467,119.3108,-0.666224576,,,,,,,,,,
333,69.27389,150.7397,2.029067825,,,,,,,,,,
334,67.90547,121.1142,-0.511567865,,,,,,,,,,
335,67.076,118.4065,-0.743775904,,,,,,,,,,
336,70.01531,142.759,1.344655706,,,,,,,,,,
337,70.05454,145.6305,1.590910972,,,,,,,,,,
338,70.86714,127.3425,0.022561222,,,,,,,,,,
339,66.0586,115.9678,-0.952914931,,,,,,,,,,
340,65.23745,104.4441,-1.941169087,,,,,,,,,,
341,68.7413,138.4905,0.978595945,,,,,,,,,,
342,69.51946,145.5049,1.580139716,,,,,,,,,,
343,70.30764,124.4065,-0.229225461,,,,,,,,,,
344,67.29982,124.1866,-0.248083735,,,,,,,,,,
345,67.60582,126.1659,-0.07834212,,,,,,,,,,
346,67.85566,138.8125,1.006210152,,,,,,,,,,
347,66.46536,121.5515,-0.474065713,,,,,,,,,,
348,68.92071,114.2555,-1.099759052,,,,,,,,,,
349,68.46886,129.4022,0.199197813,,,,,,,,,,
350,69.5193,137.5583,0.898651958,,,,,,,,,,
351,70.23956,134.4996,0.636342718,,,,,,,,,,
352,67.85651,127.7103,0.054103164,,,,,,,,,,
353,68.00435,115.6709,-0.978376602,,,,,,,,,,
354,67.13983,131.5906,0.386871511,,,,,,,,,,
355,68.09931,127.5839,0.043263302,,,,,,,,,,
356,68.99077,125.7211,-0.116487459,,,,,,,,,,
357,69.32618,119.9885,-0.608106104,,,,,,,,,,
358,70.09286,140.8676,1.182452254,,,,,,,,,,
359,68.74304,136.9164,0.843603636,,,,,,,,,,
360,64.18633,118.4759,-0.73782427,,,,,,,,,,
361,66.09074,129.5516,0.212010119,,,,,,,,,,
362,69.24418,152.0714,2.143272296,,,,,,,,,,
363,69.66512,120.8646,-0.532973163,,,,,,,,,,
364,68.42721,136.1027,0.77382202,,,,,,,,,,
365,68.28613,130.0611,0.255704028,,,,,,,,,,
366,69.37684,131.7743,0.402625331,,,,,,,,,,
367,68.35315,139.38,1.054878048,,,,,,,,,,
368,72.32489,168.229,3.528922335,,,,,,,,,,
369,70.37159,127.6446,0.048468837,,,,,,,,,,
370,65.72927,131.8008,0.404897929,,,,,,,,,,
371,66.49627,122.8561,-0.362185295,,,,,,,,,,
372,70.81339,140.2133,1.126340529,,,,,,,,,,
373,67.37579,142.6929,1.338987075,,,,,,,,,,
374,67.79709,137.4299,0.887640578,,,,,,,,,,
375,68.1607,126.0392,-0.08920771,,,,,,,,,,
376,68.85782,143.5985,1.416649888,,,,,,,,,,
377,67.71342,122.62,-0.382432855,,,,,,,,,,
378,64.66007,108.6044,-1.584388386,,,,,,,,,,
379,65.73721,100.6617,-2.265541686,,,,,,,,,,
380,68.42441,116.1397,-0.938173061,,,,,,,,,,
381,68.88946,140.5293,1.153440185,,,,,,,,,,
382,68.27367,125.6907,-0.119094515,,,,,,,,,,
383,69.18045,134.3329,0.622046791,,,,,,,,,,
384,72.60996,136.4649,0.804883715,,,,,,,,,,
385,66.04157,127.8822,0.068845035,,,,,,,,,,
386,69.2288,123.1361,-0.338172941,,,,,,,,,,
387,68.87697,116.3375,-0.921210048,,,,,,,,,,
388,66.46042,124.5581,-0.216224487,,,,,,,,,,
389,69.30444,125.7853,-0.110981769,,,,,,,,,,
390,67.58249,107.5905,-1.671338835,,,,,,,,,,
391,69.41816,143.0236,1.36734738,,,,,,,,,,
392,67.46867,118.7434,-0.714883896,,,,,,,,,,
393,66.44873,118.9856,-0.69411321,,,,,,,,,,
394,68.76185,131.8744,0.411209747,,,,,,,,,,
395,63.76881,119.3691,-0.661224861,,,,,,,,,,
396,69.03663,126.1223,-0.082081186,,,,,,,,,,
397,66.48966,126.6122,-0.040068143,,,,,,,,,,
398,66.74224,113.5597,-1.159429751,,,,,,,,,,
399,67.69394,115.8413,-0.96376337,,,,,,,,,,
400,66.69066,130.2738,0.273944841,,,,,,,,,,
401,67.02877,125.4542,-0.139376378,,,,,,,,,,
402,65.91096,117.1655,-0.850202087,,,,,,,,,,
403,70.0304,137.3184,0.878078516,,,,,,,,,,
404,69.26978,149.4447,1.918010688,,,,,,,,,,
405,70.07695,151.0695,2.057350948,,,,,,,,,,
406,64.90942,116.9994,-0.864446558,,,,,,,,,,
407,69.68744,138.1787,0.951856473,,,,,,,,,,
408,67.56524,127.621,0.046444939,,,,,,,,,,
409,63.85529,120.7514,-0.542681015,,,,,,,,,,
410,71.6189,144.2537,1.472838797,,,,,,,,,,
411,64.98993,105.7939,-1.825412389,,,,,,,,,,
412,64.60759,120.1567,-0.59368154,,,,,,,,,,
413,62.01666,109.0848,-1.543190047,,,,,,,,,,
414,65.28516,125.971,-0.095056433,,,,,,,,,,
415,67.70163,110.2325,-1.444765124,,,,,,,,,,
416,70.85794,134.4706,0.633855724,,,,,,,,,,
417,68.17075,115.5067,-0.992458133,,,,,,,,,,
418,67.45006,125.1086,-0.169014483,,,,,,,,,,
419,71.04224,116.4113,-0.914881078,,,,,,,,,,
420,67.83032,133.3944,0.541562526,,,,,,,,,,
421,67.15488,108.7478,-1.572090631,,,,,,,,,,
422,68.30289,134.3986,0.627681119,,,,,,,,,,
423,65.41208,131.2085,0.354103224,,,,,,,,,,
424,68.66755,130.8318,0.321798032,,,,,,,,,,
425,70.06733,127.0838,0.000375522,,,,,,,,,,
426,69.13413,119.4067,-0.658000345,,,,,,,,,,
427,67.02078,105.5616,-1.845334067,,,,,,,,,,
428,65.52274,134.4733,0.634087272,,,,,,,,,,
429,70.19808,132.6897,0.481128577,,,,,,,,,,
430,67.66866,126.058,-0.087595452,,,,,,,,,,
431,69.73257,126.3532,-0.06227957,,,,,,,,,,
432,67.61719,142.3603,1.310463829,,,,,,,,,,
433,70.79589,124.5873,-0.213720341,,,,,,,,,,
434,69.65804,122.3604,-0.404695738,,,,,,,,,,
435,66.73277,123.2298,-0.330137379,,,,,,,,,,
436,67.58008,131.4049,0.370946175,,,,,,,,,,
437,65.25317,124.3037,-0.238041425,,,,,,,,,,
438,70.71387,128.3836,0.1118443,,,,,,,,,,
439,71.27374,136.853,0.838166553,,,,,,,,,,
440,66.55913,118.0569,-0.773757043,,,,,,,,,,
441,68.04247,121.4969,-0.478748122,,,,,,,,,,
442,68.11699,119.2811,-0.668771601,,,,,,,,,,
443,71.2367,126.5545,-0.045016403,,,,,,,,,,
444,66.92387,129.2477,0.185948139,,,,,,,,,,
445,71.10381,134.7804,0.660423678,,,,,,,,,,
446,69.41466,146.0725,1.628816187,,,,,,,,,,
447,69.16807,162.4109,3.029971346,,,,,,,,,,
448,68.57725,130.1885,0.266629649,,,,,,,,,,
449,69.60315,132.1941,0.43862671,,,,,,,,,,
450,69.05087,127.4591,0.032560652,,,,,,,,,,
451,68.28699,125.3466,-0.148603983,,,,,,,,,,
452,69.25276,134.7559,0.658322598,,,,,,,,,,
453,68.23862,121.9395,-0.440791451,,,,,,,,,,
454,67.6868,125.6688,-0.120972624,,,,,,,,,,
455,68.84083,145.956,1.618825333,,,,,,,,,,
456,69.52061,119.9207,-0.613920524,,,,,,,,,,
457,66.97668,111.5093,-1.335268789,,,,,,,,,,
458,72.0053,138.676,0.994504129,,,,,,,,,,
459,67.44482,135.0151,0.680551177,,,,,,,,,,
460,66.06214,116.509,-0.906502481,,,,,,,,,,
461,65.5747,123.9575,-0.267730986,,,,,,,,,,
462,68.30171,136.952,0.846656635,,,,,,,,,,
463,71.02603,153.0797,2.229742498,,,,,,,,,,
464,70.76882,126.357,-0.061953688,,,,,,,,,,
465,67.50812,145.0614,1.542105862,,,,,,,,,,
466,69.50936,135.1739,0.694169612,,,,,,,,,,
467,66.4455,108.806,-1.567099491,,,,,,,,,,
468,68.5689,110.5155,-1.420495494,,,,,,,,,,
469,67.01296,138.2685,0.959557578,,,,,,,,,,
470,68.70004,119.5111,-0.649047167,,,,,,,,,,
471,68.23013,115.3214,-1.008349166,,,,,,,,,,
472,70.40713,132.3684,0.453574401,,,,,,,,,,
473,65.69989,93.99438,-2.837320429,,,,,,,,,,
474,65.7031,127.4051,0.027929698,,,,,,,,,,
475,68.48055,134.3024,0.61943116,,,,,,,,,,
476,66.62891,124.9721,-0.180720506,,,,,,,,,,
477,66.84285,124.072,-0.257911648,,,,,,,,,,
478,69.89734,133.5476,0.554700714,,,,,,,,,,
479,67.6543,134.1509,0.606438761,,,,,,,,,,
480,68.30917,130.2489,0.271809457,,,,,,,,,,
481,69.74848,138.0935,0.944549857,,,,,,,,,,
482,68.57906,126.6064,-0.040565541,,,,,,,,,,
483,68.14477,131.8076,0.405481086,,,,,,,,,,
484,67.98093,131.7363,0.399366511,,,,,,,,,,
485,64.82535,117.6261,-0.810701765,,,,,,,,,,
486,69.20785,126.1943,-0.075906581,,,,,,,,,,
